crash_severity,vehicle_damage,injury_count,fatality_count,precipitation,visibility,temperature,wind_speed,median_income,unemployment_rate,population_density,educational_attainment,claim_fraud_flag,driver_behavior_Distracted,driver_behavior_Impaired,driver_behavior_Normal,driver_behavior_Speeding,weather_condition_Clear,weather_condition_Fog,weather_condition_Rain,weather_condition_Snow
1,23646,2,0,14.94,8.4,44.1,26.0,78434,2.51,1216,53.9,0,False,False,True,False,False,True,False,False
3,20665,1,0,5.57,3.3,28.3,9.6,116544,9.84,8708,27.6,1,False,False,False,True,False,False,False,True
1,5870,1,0,4.86,9.0,85.4,21.0,39718,3.05,2207,43.3,0,False,False,True,False,True,False,False,False
5,6857,2,0,19.14,7.7,67.7,5.2,41598,11.68,4734,20.0,0,False,False,False,True,False,False,True,False
5,3423,0,0,24.47,6.6,0.8,11.6,100206,3.92,8664,14.9,0,False,False,False,True,True,False,False,False
4,12672,0,0,0.4,9.0,108.5,16.0,51588,8.32,7033,65.5,0,True,False,False,False,True,False,False,False
5,23970,2,0,6.22,7.8,53.8,28.3,97782,4.78,2023,22.6,0,False,False,True,False,False,False,False,True
3,5883,1,0,19.81,4.2,33.4,36.0,50259,3.04,1905,18.8,0,False,False,False,True,False,True,False,False
3,23984,4,0,17.98,3.2,73.2,17.1,38335,11.91,986,77.7,1,True,False,False,False,False,False,False,True
3,6470,0,0,6.15,3.9,31.4,28.6,50529,11.66,1610,13.9,0,False,False,False,True,False,False,False,True
1,10301,1,0,13.87,0.6,51.0,5.6,73165,4.07,7297,57.7,0,False,False,False,True,False,False,True,False
2,2338,3,0,14.64,3.6,71.7,4.0,89827,6.56,4341,36.2,0,True,False,False,False,False,True,False,False
2,20938,4,0,18.03,3.5,13.4,17.9,48309,3.89,7802,22.1,1,False,True,False,False,False,False,False,True
3,8904,4,0,11.59,8.7,51.4,30.4,86151,4.59,403,29.1,0,False,False,False,True,False,False,False,True
2,23893,3,0,10.12,8.9,80.9,9.3,118273,8.44,7943,61.2,0,True,False,False,False,True,False,False,False
1,1131,4,0,7.7,9.6,105.7,32.4,71646,8.21,1855,69.9,0,False,False,False,True,False,False,True,False
2,1612,0,0,5.96,3.3,2.4,10.1,75486,7.42,683,28.8,0,False,False,True,False,True,False,False,False
4,20925,2,0,2.31,6.9,91.6,3.4,47843,7.69,9719,34.3,0,False,True,False,False,False,True,False,False
4,12480,4,0,16.15,6.3,103.3,20.5,48040,8.72,2563,38.7,0,True,False,False,False,True,False,False,False
3,5579,1,0,16.74,2.4,108.4,0.0,117561,3.97,1447,67.9,0,True,False,False,False,False,False,False,True
3,19181,0,0,17.18,8.7,103.2,28.3,102431,3.48,9782,62.5,1,False,False,True,False,False,False,False,True
1,14113,0,0,0.08,2.1,14.2,29.6,69519,11.88,171,24.7,1,False,False,True,False,False,True,False,False
3,21874,0,0,10.96,7.5,97.5,38.9,107949,8.02,2157,48.0,0,False,False,True,False,False,True,False,False
4,4555,3,0,3.06,1.4,16.8,26.5,116550,8.24,5324,63.7,0,False,True,False,False,False,False,False,True
3,8985,1,0,13.17,1.1,39.7,19.8,51869,10.23,7881,43.5,0,False,True,False,False,False,True,False,False
3,8058,3,0,24.49,7.2,39.7,2.9,74609,7.53,7768,48.9,0,True,False,False,False,True,False,False,False
4,9390,3,0,12.48,5.3,30.8,21.4,111788,4.29,2570,24.9,0,False,True,False,False,False,True,False,False
5,22634,4,0,9.37,4.4,39.0,5.7,65045,8.42,3078,56.2,0,False,False,True,False,False,False,False,True
4,11509,1,0,20.35,7.8,59.7,32.1,117835,6.85,1546,15.0,0,False,False,True,False,False,False,True,False
5,13639,3,0,24.21,3.6,8.6,23.0,43745,9.85,2457,35.3,0,True,False,False,False,False,False,False,True
5,1390,1,0,7.18,8.5,41.0,8.5,65634,11.61,2980,38.0,0,True,False,False,False,False,False,False,True
5,10923,3,0,20.08,9.6,64.2,28.3,93574,10.64,2583,52.6,0,True,False,False,False,True,False,False,False
3,5665,4,0,24.9,9.8,14.8,13.3,93975,5.46,1893,76.4,0,False,True,False,False,False,True,False,False
3,3862,1,0,2.8,2.8,26.7,26.8,45665,5.62,9107,25.3,0,False,False,False,True,False,True,False,False
1,20212,1,0,13.28,4.2,34.4,31.2,80078,3.89,8177,48.1,0,True,False,False,False,False,False,False,True
2,4803,0,0,20.34,7.3,8.2,3.5,63935,11.07,8173,66.2,0,True,False,False,False,False,True,False,False
5,11527,1,0,9.41,8.9,88.8,20.4,72763,6.46,2719,52.2,1,False,False,False,True,False,True,False,False
4,8682,1,0,11.14,7.1,29.0,4.1,41476,7.25,3072,61.7,0,False,True,False,False,False,False,False,True
5,2933,0,0,18.77,7.6,45.2,26.0,36908,11.43,8429,18.2,0,False,True,False,False,False,False,True,False
3,6030,3,0,2.46,8.8,44.6,12.6,90095,5.46,5510,68.5,0,False,False,True,False,False,False,True,False
3,22300,2,0,9.01,3.7,33.5,25.7,49301,10.9,5320,31.8,0,False,False,True,False,False,False,False,True
2,6989,0,0,14.09,5.4,14.1,1.9,40683,5.95,4140,40.6,0,False,False,False,True,False,False,True,False
5,18708,2,0,5.96,5.3,98.3,34.7,38113,8.01,3287,15.9,0,True,False,False,False,False,True,False,False
5,16442,4,0,21.0,6.5,75.0,19.1,114866,9.63,3302,58.1,0,False,False,False,True,False,True,False,False
5,1364,2,1,19.15,9.0,29.4,31.7,75475,10.37,1131,69.3,0,False,False,True,False,True,False,False,False
2,14075,0,0,24.14,6.0,10.2,9.1,38866,7.54,1171,43.9,1,False,False,False,True,False,True,False,False
4,23272,2,0,13.07,9.7,13.6,13.4,107640,7.49,8560,17.1,0,False,False,True,False,False,False,True,False
4,4634,1,0,2.66,7.3,30.4,30.6,55658,4.49,6367,17.2,1,False,False,False,True,False,False,False,True
1,16069,0,0,23.42,4.2,5.4,34.1,47808,5.27,9053,18.1,1,False,False,False,True,True,False,False,False
2,6127,3,0,20.86,5.8,16.0,17.5,87236,5.09,1333,44.6,0,False,False,True,False,False,True,False,False
5,5777,1,0,13.61,9.2,52.3,37.2,70216,6.24,353,53.5,0,True,False,False,False,False,False,True,False
5,10231,3,0,20.91,6.2,103.0,23.2,64385,7.0,9993,12.3,0,True,False,False,False,False,True,False,False
1,3750,2,0,22.04,7.1,47.7,2.0,113347,8.74,1846,14.4,0,False,False,False,True,False,False,True,False
1,17284,2,0,19.4,6.6,78.0,18.1,48359,5.84,9689,79.1,0,False,False,False,True,False,False,False,True
4,19945,3,0,14.28,3.4,62.7,6.4,45899,3.94,800,30.4,0,False,False,False,True,False,False,True,False
3,2213,2,0,15.38,2.0,107.4,29.3,62594,2.59,5366,43.4,1,False,False,False,True,True,False,False,False
5,13677,2,0,21.11,4.1,19.6,13.9,56930,5.13,7084,54.1,1,False,False,False,True,True,False,False,False
3,7007,3,0,15.56,1.5,81.3,8.0,40419,11.07,951,60.0,0,False,False,True,False,False,True,False,False
1,10594,3,0,5.16,8.3,38.5,33.7,48665,9.29,4089,17.7,0,False,False,False,True,True,False,False,False
4,8700,0,0,17.29,7.1,109.0,32.7,92526,2.65,7021,17.7,0,False,True,False,False,False,True,False,False
4,2195,4,0,13.3,4.0,38.8,13.7,80266,11.06,7609,73.8,0,True,False,False,False,False,False,True,False
2,23533,1,0,6.58,1.7,107.7,16.1,56414,3.21,6739,32.7,0,True,False,False,False,False,True,False,False
3,12714,4,0,0.02,8.8,94.6,2.4,95657,10.5,5739,60.7,1,False,True,False,False,False,False,False,True
1,20181,1,0,5.89,6.4,65.8,7.2,45118,5.66,1547,59.7,0,True,False,False,False,True,False,False,False
3,20794,3,0,16.84,10.0,3.0,29.4,113724,8.3,8092,42.8,0,False,True,False,False,False,False,True,False
5,761,1,0,21.96,1.0,20.4,22.6,79011,3.54,5611,16.4,0,False,False,False,True,True,False,False,False
2,14259,1,0,20.77,2.4,6.2,32.9,71537,10.8,6777,72.3,0,False,False,False,True,False,False,False,True
3,13416,4,0,2.7,0.8,87.2,20.0,78395,2.23,1249,68.4,0,False,True,False,False,False,False,True,False
5,13906,1,0,1.78,7.4,8.1,30.7,55442,9.59,3123,40.2,1,True,False,False,False,False,True,False,False
1,8716,1,0,19.04,1.6,86.5,20.4,72468,10.59,202,41.9,0,False,False,True,False,False,False,False,True
5,17058,0,0,7.12,8.8,3.1,22.7,97330,4.37,8857,48.2,0,True,False,False,False,True,False,False,False
3,7176,3,0,6.8,4.9,28.1,7.4,113051,4.15,1058,36.5,0,False,False,False,True,True,False,False,False
5,7690,0,0,0.05,5.3,32.7,21.8,64597,8.27,9746,45.3,0,False,False,False,True,False,False,False,True
2,6154,3,0,2.46,0.4,62.1,8.0,61284,4.48,8022,43.1,0,False,False,True,False,False,False,False,True
4,3215,4,0,3.39,6.1,61.8,22.2,52138,8.42,9317,30.0,0,True,False,False,False,False,False,False,True
2,17883,0,0,3.98,2.3,97.6,5.7,51772,3.63,3205,71.1,1,False,False,True,False,True,False,False,False
5,14605,2,0,11.13,2.1,70.1,7.4,115982,11.31,3829,13.3,0,True,False,False,False,False,True,False,False
1,1636,0,0,20.35,9.0,17.8,30.6,36002,10.06,2549,35.5,0,False,True,False,False,False,False,False,True
3,24628,4,0,20.31,8.9,3.0,2.8,43565,10.73,2464,64.2,1,False,False,False,True,True,False,False,False
3,17953,0,0,22.75,0.1,83.8,14.8,98356,6.51,9842,44.0,1,False,False,False,True,False,True,False,False
4,22042,3,0,11.09,8.3,58.9,35.1,46825,8.06,5197,65.0,0,True,False,False,False,False,True,False,False
5,1576,4,0,17.72,9.0,63.6,4.2,82700,10.48,410,43.8,0,True,False,False,False,True,False,False,False
1,5416,2,0,12.21,5.1,45.6,14.4,79401,4.37,6592,79.3,0,True,False,False,False,True,False,False,False
5,10004,3,0,1.25,6.6,64.9,4.6,55729,11.36,7875,71.9,0,False,False,False,True,True,False,False,False
5,20921,1,0,2.01,7.7,44.6,35.1,36845,8.13,4758,10.5,0,False,False,True,False,False,False,False,True
5,7875,3,0,6.15,6.9,49.0,5.0,74456,5.37,7181,43.3,1,False,False,False,True,True,False,False,False
5,7033,3,0,24.54,4.6,65.2,10.2,49863,5.33,8749,70.0,0,True,False,False,False,False,False,True,False
3,24213,4,0,17.3,5.7,54.2,16.9,85613,7.88,7164,34.0,0,False,True,False,False,True,False,False,False
4,19380,2,0,6.7,5.7,6.5,26.6,99028,3.14,6947,61.0,0,False,False,True,False,False,False,False,True
3,7081,2,0,17.66,8.4,107.4,13.8,91600,10.81,569,39.3,0,False,True,False,False,True,False,False,False
5,10281,1,0,16.53,2.4,94.1,8.5,109383,8.24,9248,16.7,0,False,True,False,False,False,False,False,True
5,8105,0,0,1.08,7.6,41.7,14.9,92914,6.91,820,32.1,1,True,False,False,False,True,False,False,False
4,5956,2,0,9.04,8.1,60.1,22.8,103377,11.94,3224,31.9,0,False,False,True,False,False,False,True,False
1,10346,0,0,19.34,8.0,102.6,39.6,93112,2.35,9834,55.8,0,False,False,False,True,True,False,False,False
3,20501,0,0,1.96,8.1,43.8,13.1,54260,10.16,7955,74.9,1,False,False,False,True,True,False,False,False
4,7463,2,0,22.11,8.3,103.9,14.5,62645,7.81,715,59.3,0,True,False,False,False,False,True,False,False
2,18091,3,0,23.27,4.2,3.4,28.2,55181,5.16,9560,32.6,1,False,False,True,False,False,False,True,False
1,13674,2,0,21.33,6.2,82.0,12.0,101115,6.38,3647,57.8,1,True,False,False,False,False,False,False,True
2,3114,1,0,2.93,7.6,87.7,14.0,94793,7.91,4903,15.9,1,False,False,False,True,False,True,False,False
4,15965,3,0,14.13,7.7,21.3,39.8,51629,5.02,8108,36.3,0,False,False,True,False,False,False,True,False
1,4352,0,0,17.69,9.6,17.9,24.2,45703,4.21,9213,23.3,0,False,False,True,False,False,False,True,False
5,16201,1,0,22.2,9.8,65.0,33.2,51969,10.64,860,58.5,0,False,False,False,True,False,True,False,False
4,3326,4,0,2.39,5.6,52.8,1.3,90442,6.31,8680,56.3,0,False,False,True,False,False,True,False,False
5,22597,0,0,20.39,4.7,64.5,5.8,53856,8.86,4114,34.7,0,False,False,True,False,False,False,False,True
4,14319,3,0,6.95,8.4,14.5,29.1,76179,3.35,874,22.6,1,False,False,False,True,False,True,False,False
1,3650,0,0,14.81,2.2,30.6,21.6,115461,10.98,5420,21.0,1,False,False,True,False,True,False,False,False
1,16827,4,0,17.99,7.7,7.7,39.8,89631,3.31,9463,26.6,0,False,False,False,True,False,True,False,False
1,13640,4,0,19.43,1.9,11.9,19.8,117526,8.38,8882,33.0,0,False,True,False,False,False,False,False,True
5,20497,4,0,7.37,5.9,78.8,15.4,42997,8.83,4527,70.9,0,False,True,False,False,False,False,True,False
1,9984,2,0,15.18,6.1,2.9,7.8,109320,11.73,8292,18.5,0,False,False,True,False,False,True,False,False
1,7219,4,0,7.19,4.4,59.4,23.6,114341,11.09,9600,21.8,0,False,True,False,False,True,False,False,False
4,4731,3,0,24.96,8.6,32.9,30.7,80949,8.42,166,35.9,0,False,False,False,True,False,True,False,False
4,24122,0,0,20.36,5.4,95.5,37.0,55483,4.68,2368,52.3,0,True,False,False,False,False,False,False,True
3,11059,0,0,10.35,4.9,60.0,5.5,63161,9.09,9092,13.9,0,False,True,False,False,False,False,True,False
2,3570,1,0,21.98,4.2,109.7,0.3,42084,2.03,9620,27.2,0,False,False,True,False,True,False,False,False
3,11065,2,0,18.31,0.6,61.7,19.1,111197,5.56,4218,68.4,0,False,True,False,False,False,True,False,False
5,6079,4,0,23.22,3.6,61.8,7.3,100916,6.15,3678,56.4,0,False,False,False,True,False,True,False,False
3,11747,0,0,4.29,0.9,36.9,24.4,98294,10.77,2736,34.6,1,False,False,False,True,False,False,True,False
5,4465,4,0,7.37,5.7,27.8,24.8,106829,7.58,1996,18.0,1,False,False,False,True,True,False,False,False
4,14230,4,0,2.34,6.4,47.0,16.4,56871,3.2,2961,32.7,0,False,True,False,False,False,False,True,False
1,11522,0,0,7.95,7.7,25.0,27.1,64464,6.1,4392,27.1,0,False,False,False,True,True,False,False,False
4,5295,2,0,9.53,6.3,7.8,8.0,93299,7.5,3388,59.7,0,False,True,False,False,False,True,False,False
4,17356,0,0,15.82,1.9,46.8,32.3,90284,3.23,4685,31.0,0,False,True,False,False,False,True,False,False
4,9438,4,0,11.79,7.5,11.7,2.0,96979,5.03,5343,57.4,1,True,False,False,False,False,True,False,False
2,24085,1,0,17.94,5.5,79.5,6.9,51287,2.55,9268,38.9,0,False,False,False,True,False,True,False,False
4,18700,0,0,6.73,1.0,32.8,39.2,46744,10.3,990,34.5,0,True,False,False,False,False,False,True,False
3,21999,1,0,4.33,0.2,53.9,36.0,109362,9.67,2303,65.0,0,False,False,False,True,False,False,True,False
1,1309,2,0,9.48,3.0,21.5,37.6,116709,4.38,1745,23.0,1,False,False,False,True,False,True,False,False
4,16274,4,0,10.95,6.9,74.9,36.3,46834,7.81,280,42.0,0,False,False,False,True,False,True,False,False
5,7515,3,0,10.55,9.3,91.4,17.7,69986,6.3,9444,50.8,0,False,True,False,False,False,True,False,False
1,11146,0,0,22.84,9.7,24.2,37.6,92596,4.68,2699,32.5,0,False,False,False,True,False,False,False,True
1,1705,1,0,6.74,7.6,0.9,9.5,102311,10.2,7586,59.4,0,False,False,True,False,False,True,False,False
5,10074,1,0,8.8,2.9,27.6,2.0,114271,3.16,7192,74.2,0,False,False,True,False,False,True,False,False
2,17757,2,0,5.38,6.2,69.0,22.3,55377,6.32,4409,15.1,0,False,True,False,False,False,False,True,False
5,2132,3,1,9.3,2.3,34.2,12.5,115517,11.92,6576,22.7,0,False,False,False,True,False,False,True,False
3,6479,4,0,9.75,7.5,92.0,21.3,56118,4.6,1195,45.6,0,False,False,True,False,False,False,False,True
5,16853,0,0,14.39,1.7,93.8,18.9,43131,5.4,1261,66.0,0,False,False,False,True,False,False,True,False
5,4202,1,0,6.96,7.6,40.9,19.3,107509,10.66,428,54.2,1,False,False,True,False,False,False,True,False
1,9368,4,0,6.49,8.7,40.2,22.8,74217,10.24,2368,11.4,0,False,False,False,True,False,False,False,True
5,12128,1,0,17.98,5.2,1.8,36.9,108567,10.87,2699,33.1,0,True,False,False,False,False,False,True,False
4,7930,1,0,22.75,0.7,60.5,9.4,81515,6.67,7773,55.8,1,False,False,False,True,True,False,False,False
1,14951,1,0,3.05,4.5,17.0,35.0,63872,10.35,2559,58.1,0,False,True,False,False,False,True,False,False
1,16538,4,0,4.56,8.4,12.4,29.4,87747,2.72,6350,43.8,0,False,True,False,False,False,True,False,False
1,2017,0,0,3.33,1.8,5.9,3.2,98689,6.76,4072,13.8,0,True,False,False,False,False,False,False,True
1,8932,2,0,17.09,0.4,19.7,33.4,104290,2.03,216,53.9,0,False,True,False,False,False,True,False,False
2,16086,1,0,5.35,7.3,17.2,15.9,83610,6.1,2636,45.3,0,False,False,True,False,True,False,False,False
4,16531,2,0,15.11,5.6,3.9,13.4,73648,6.74,5139,60.8,0,False,False,False,True,False,False,False,True
2,18994,2,0,5.04,0.4,108.1,0.0,80438,2.66,527,37.3,1,True,False,False,False,False,False,True,False
3,8045,1,0,20.44,9.8,72.4,9.8,61216,2.97,6045,68.5,1,False,True,False,False,False,False,True,False
2,6066,1,0,7.9,5.7,42.6,27.5,71705,2.78,8021,31.5,0,True,False,False,False,False,False,False,True
1,19990,0,0,16.74,5.9,6.9,34.0,69642,11.71,4143,70.5,0,False,True,False,False,False,False,False,True
4,8507,2,0,3.72,7.9,5.2,9.6,46963,3.23,2189,11.0,0,False,False,True,False,True,False,False,False
2,3614,2,0,7.65,9.0,88.5,14.8,101114,7.42,7238,63.4,0,False,False,True,False,False,False,True,False
2,15717,0,0,7.43,0.6,46.5,6.0,99545,9.01,4342,67.9,0,False,True,False,False,False,False,False,True
4,6734,3,0,15.88,3.5,11.9,32.1,44478,7.98,5210,57.7,0,False,False,False,True,True,False,False,False
2,17574,2,1,17.02,2.0,18.4,28.7,57117,11.89,1021,73.2,1,True,False,False,False,False,False,True,False
4,15114,4,0,21.13,4.7,74.8,28.0,119972,11.49,1317,24.1,0,False,False,False,True,False,False,True,False
3,9565,0,0,4.58,0.9,47.0,27.2,35166,11.11,8640,34.6,1,False,False,True,False,True,False,False,False
2,6224,3,0,19.01,0.7,10.6,35.7,50882,2.36,5985,26.0,1,True,False,False,False,False,False,False,True
4,10075,1,0,17.8,3.0,43.1,35.3,57129,9.09,2738,69.1,0,False,False,False,True,False,False,False,True
1,10940,4,0,13.94,9.0,4.9,25.0,97736,8.72,4893,62.2,0,True,False,False,False,False,False,True,False
4,17832,0,0,16.25,9.8,29.8,11.6,115544,4.35,8434,70.8,0,False,False,True,False,True,False,False,False
4,24061,0,0,2.25,7.6,55.3,16.1,112325,8.51,3913,34.3,0,True,False,False,False,False,True,False,False
1,15186,4,0,3.67,0.0,50.3,1.2,94888,4.62,5130,20.8,0,True,False,False,False,True,False,False,False
2,21333,1,0,10.39,7.4,84.5,36.7,40227,3.44,802,77.8,0,False,False,False,True,False,False,True,False
1,2559,2,0,17.78,0.2,17.6,27.5,67143,10.95,1432,41.4,0,False,False,False,True,False,False,False,True
2,3670,4,0,4.2,1.7,56.1,36.3,99491,4.11,4703,61.1,0,True,False,False,False,True,False,False,False
5,23324,0,0,9.72,0.1,15.6,12.1,119271,5.93,8924,55.8,1,False,False,False,True,False,True,False,False
4,4559,4,0,12.45,1.5,20.8,37.8,95127,11.92,3540,20.0,0,False,False,False,True,False,False,True,False
5,3392,3,0,23.38,6.9,45.1,34.6,78838,9.13,4103,69.1,0,False,False,False,True,True,False,False,False
5,9803,3,0,1.38,7.0,16.0,35.4,108284,4.03,1012,78.5,1,False,False,False,True,False,True,False,False
3,22495,1,0,20.73,3.7,61.9,0.0,36355,9.52,7532,77.6,0,False,True,False,False,False,False,True,False
1,17073,1,0,24.6,7.3,50.1,15.1,39285,5.81,9866,33.5,0,False,False,True,False,False,False,True,False
1,22364,3,0,6.68,8.5,103.6,4.9,86866,5.11,3096,74.8,1,True,False,False,False,False,False,False,True
1,23670,4,0,22.25,1.3,73.7,37.3,70597,5.93,1521,19.3,1,False,False,False,True,False,True,False,False
4,24458,1,0,7.26,0.9,11.3,20.5,52021,5.06,1526,75.8,0,False,False,False,True,False,False,False,True
1,3398,1,0,19.98,3.7,66.8,19.6,118757,5.77,9390,13.1,0,False,False,True,False,False,True,False,False
3,24273,3,0,11.5,4.0,46.2,19.5,69294,8.64,2398,38.6,0,False,True,False,False,True,False,False,False
4,19670,3,0,14.94,2.8,55.1,22.8,97943,11.14,8875,69.0,0,True,False,False,False,False,False,False,True
3,22307,0,0,5.92,7.5,72.1,21.8,103176,4.67,109,60.8,0,False,False,True,False,False,False,True,False
3,19054,4,0,17.19,3.2,20.4,36.7,104614,8.24,1721,60.5,0,False,False,False,True,False,False,True,False
4,24915,0,0,3.72,8.0,39.5,35.4,75846,10.51,8011,29.4,0,False,False,False,True,False,False,True,False
2,8150,2,0,13.99,9.1,52.8,31.3,89566,2.06,5378,39.5,1,False,False,True,False,False,False,True,False
2,16964,4,0,12.36,5.1,67.6,12.9,82231,2.4,4362,51.3,0,False,False,False,True,False,True,False,False
2,875,0,0,20.93,4.3,31.4,31.4,94960,5.54,5585,37.2,1,True,False,False,False,True,False,False,False
5,5235,1,0,12.04,0.9,55.3,5.8,115374,11.16,7348,45.4,0,False,False,True,False,True,False,False,False
2,10597,4,0,19.62,2.7,30.6,34.4,73233,8.44,9782,47.8,0,True,False,False,False,False,True,False,False
5,12095,1,0,10.01,8.9,63.0,30.9,99271,7.44,1818,67.7,0,False,False,False,True,False,False,True,False
1,6645,0,0,7.7,2.5,37.7,31.0,65155,11.02,8308,60.7,0,False,False,False,True,True,False,False,False
4,8144,3,0,19.68,6.2,92.3,21.1,51058,11.95,2056,56.2,1,False,False,False,True,False,False,False,True
1,9317,1,0,10.46,5.0,75.5,18.0,94048,2.2,1608,12.5,0,False,False,False,True,False,False,True,False
1,19252,1,0,12.42,0.9,89.8,9.1,71766,7.58,6096,20.9,0,False,False,False,True,False,True,False,False
1,5593,3,0,14.43,9.0,17.0,32.3,111301,3.59,8939,72.1,0,False,False,False,True,False,True,False,False
3,7362,0,0,20.49,0.7,20.4,38.6,116240,4.52,2429,63.6,0,False,False,False,True,True,False,False,False
5,6834,0,0,14.53,6.8,59.7,21.7,63560,4.26,8663,22.6,0,False,True,False,False,False,True,False,False
1,16960,4,0,10.15,9.7,6.8,36.1,47832,5.2,8659,14.6,0,False,False,True,False,True,False,False,False
5,22052,1,0,4.01,7.1,59.2,11.3,86647,3.62,1642,21.4,0,False,False,False,True,False,False,True,False
5,4632,0,0,17.55,3.3,37.0,20.7,72149,11.74,3877,68.6,0,False,True,False,False,True,False,False,False
5,8229,4,0,22.08,0.7,35.7,13.1,70677,11.33,8236,78.1,0,True,False,False,False,True,False,False,False
2,19714,3,0,2.71,5.8,25.3,39.7,98415,11.46,4050,62.9,0,False,False,False,True,False,True,False,False
3,17469,4,0,11.66,7.3,0.5,10.0,96926,4.48,9851,64.9,0,True,False,False,False,False,False,True,False
1,15753,4,0,23.36,3.6,75.6,27.2,52479,8.82,6269,12.1,0,False,False,True,False,False,False,False,True
3,17255,1,0,14.09,6.5,82.8,30.6,62181,8.0,1674,71.2,0,False,False,False,True,True,False,False,False
4,2452,0,0,13.63,5.7,37.2,1.3,76078,2.61,2058,57.7,0,False,False,False,True,False,False,True,False
1,2420,1,0,1.59,0.3,51.7,39.3,95329,8.64,7916,34.4,1,False,True,False,False,False,False,False,True
3,14754,4,0,13.38,9.2,87.7,3.7,75176,7.82,3325,45.0,0,True,False,False,False,False,False,False,True
2,24844,2,0,16.36,3.8,71.2,24.6,94432,10.46,6029,76.5,0,True,False,False,False,False,False,False,True
4,16452,3,0,3.66,3.8,2.5,6.0,67366,2.7,1100,13.8,1,False,True,False,False,False,True,False,False
2,11161,2,0,23.91,8.5,31.2,20.8,98788,8.95,3598,23.4,0,False,True,False,False,False,False,False,True
3,10408,1,0,4.9,4.8,105.0,3.7,94000,2.18,6862,20.5,0,False,True,False,False,True,False,False,False
3,8142,0,0,16.85,4.5,97.1,31.2,104623,11.49,5754,47.7,0,False,True,False,False,True,False,False,False
4,3162,2,0,6.86,6.4,35.8,30.9,84803,9.31,5373,26.5,0,False,False,False,True,False,True,False,False
