crash_id,state,county_fips,crash_date,crash_severity,vehicle_damage,injury_count,fatality_count,driver_behavior,road_condition,weather_condition,precipitation,visibility,temperature,wind_speed,median_income,unemployment_rate,population_density,educational_attainment,fraud_indicator,suspicious_claim_score,crash_weather_risk,socioeconomic_risk,geographic_risk,claim_fraud_flag,fraud_probability,high_risk_claim_flag
100030,NY,6306,2024-01-30,3,3880,1,0,Normal,Ice,Fog,4.29,2.5,102.8,2.2,70919,2.57,3485,60.0,1,83.1,5.33,7.34,6.34,1,0.071,0
100031,FL,7542,2024-01-31,2,9211,2,0,Speeding,Snow,Snow,12.5,6.8,27.6,7.6,95782,7.88,3251,53.6,0,29.2,0.53,6.62,9.85,0,0.069,0
100032,NY,5730,2024-02-01,1,9282,4,0,Speeding,Ice,Snow,10.3,4.4,13.2,1.6,106116,10.4,4229,77.9,0,87.5,4.57,8.17,1.38,0,0.21,0
100033,NY,8331,2024-02-02,3,17934,1,0,Impaired,Wet,Fog,21.76,4.3,64.3,15.7,107590,2.17,8455,49.1,0,77.2,9.42,1.28,4.3,0,0.29,0
100034,TX,6335,2024-02-03,2,14497,2,0,Speeding,Ice,Clear,15.79,8.9,106.6,32.1,75387,2.49,3287,33.5,0,41.8,8.88,8.59,4.25,0,0.787,1
100035,FL,9925,2024-02-04,2,20517,1,0,Normal,Wet,Fog,13.31,9.0,41.6,13.6,50823,7.73,3912,46.3,1,74.8,1.02,5.95,4.17,1,0.159,0
100036,IL,5331,2024-02-05,4,6842,4,0,Distracted,Ice,Rain,2.88,9.1,6.8,17.8,81015,10.19,108,78.5,0,96.1,7.44,3.35,6.64,0,0.044,0
100037,FL,9011,2024-02-06,1,17843,0,0,Distracted,Dry,Clear,15.14,3.5,37.3,27.0,50339,5.27,4988,58.7,0,45.9,8.06,8.16,4.9,0,0.394,0
100038,IL,7802,2024-02-07,2,6559,0,0,Speeding,Snow,Clear,2.93,7.1,55.7,20.4,38491,5.5,3021,57.0,0,23.8,2.71,8.03,5.17,0,0.416,0
100039,TX,5847,2024-02-08,3,9384,2,0,Impaired,Dry,Clear,8.43,3.1,17.8,34.5,35706,7.96,9769,26.8,0,94.2,4.72,8.46,4.32,0,0.451,0
100040,CA,7732,2024-02-09,4,6155,3,0,Impaired,Ice,Snow,3.57,2.3,72.4,34.6,50728,4.74,8364,62.1,0,60.4,7.11,1.16,9.92,0,0.827,1
100041,NY,8242,2024-02-10,1,12591,2,0,Impaired,Ice,Fog,17.3,2.3,109.8,0.4,41997,2.27,9678,62.5,0,10.5,4.39,9.69,9.28,0,0.098,0
100042,TX,1954,2024-02-11,5,21357,3,0,Impaired,Ice,Clear,5.16,3.8,49.7,31.1,95408,9.35,9404,32.2,1,57.3,1.13,9.6,3.08,1,0.704,1
100043,NY,3540,2024-02-12,3,19830,1,0,Impaired,Wet,Clear,9.8,4.6,39.0,18.4,93097,8.26,3395,43.9,0,50.1,7.06,3.57,1.12,0,0.338,0
100044,CA,8057,2024-02-13,2,15751,1,0,Speeding,Snow,Clear,22.39,8.4,44.1,39.6,73523,7.81,2536,30.6,0,85.6,9.12,0.66,8.4,0,0.31,0
100045,CA,2543,2024-02-14,2,24609,4,0,Distracted,Snow,Fog,5.11,1.6,12.7,19.3,60163,9.42,611,28.1,0,53.1,6.52,1.67,9.97,0,0.933,1
100046,TX,6294,2024-02-15,3,1026,3,0,Distracted,Ice,Snow,12.7,7.5,97.2,39.5,52718,8.75,4031,11.8,0,25.5,7.74,9.93,2.93,0,0.248,0
100047,CA,2192,2024-02-16,2,3724,4,0,Speeding,Ice,Rain,10.48,5.5,45.6,30.2,118767,4.06,6311,30.0,1,67.6,3.58,5.63,3.58,1,0.643,0
100048,IL,7314,2024-02-17,4,15569,0,0,Impaired,Wet,Snow,0.45,3.2,42.6,9.9,74619,5.52,1787,48.8,0,54.3,1.83,3.57,9.42,0,0.275,0
100049,CA,7939,2024-02-18,1,12036,3,0,Speeding,Dry,Clear,19.82,5.2,72.6,21.5,47126,3.26,9146,10.1,0,23.3,6.43,2.88,7.11,0,0.507,0
100050,NY,3682,2024-02-19,4,14047,2,0,Distracted,Dry,Snow,1.73,3.3,48.6,39.7,99926,3.3,3604,29.8,0,57.4,3.28,2.57,2.96,0,0.786,1
100051,NY,2541,2024-02-20,2,18759,0,0,Normal,Snow,Snow,11.86,6.2,71.3,34.3,75633,8.76,9968,71.7,0,82.2,8.6,6.64,5.81,0,0.882,1
100052,NY,7173,2024-02-21,5,2263,0,0,Speeding,Wet,Rain,14.02,4.6,6.8,3.9,112654,10.59,9176,51.6,0,2.9,1.23,4.19,9.44,0,0.839,1
100053,NY,6542,2024-02-22,1,9212,2,0,Impaired,Ice,Fog,15.71,2.1,89.5,28.3,38317,11.63,7145,52.6,0,63.1,4.33,9.65,8.12,0,0.582,0
100054,IL,2366,2024-02-23,1,6297,0,0,Distracted,Snow,Fog,17.22,1.6,103.5,13.8,79980,8.28,8316,38.2,0,35.0,3.97,6.84,7.42,0,0.249,0
100055,FL,9692,2024-02-24,3,9708,3,0,Distracted,Wet,Snow,6.33,5.7,71.4,0.3,79115,3.84,344,57.4,0,29.3,9.38,7.92,7.37,0,0.661,0
100056,TX,9703,2024-02-25,3,23983,4,0,Distracted,Dry,Snow,0.25,9.1,105.0,16.1,96646,3.06,8262,23.3,0,39.3,1.53,2.93,1.78,0,0.71,1
100057,NY,8495,2024-02-26,5,5609,0,0,Distracted,Wet,Fog,18.09,3.8,16.7,9.4,78158,10.13,9280,67.3,0,34.2,0.1,0.79,8.25,0,0.011,0
100058,CA,5313,2024-02-27,1,23528,3,0,Impaired,Dry,Fog,13.39,7.5,52.5,32.8,90963,7.79,5380,18.2,0,83.2,2.38,4.88,2.76,0,0.439,0
100059,NY,2325,2024-02-28,5,17000,1,0,Normal,Wet,Rain,20.9,6.8,66.2,13.5,82631,8.18,4705,55.9,0,27.5,8.2,3.15,9.3,0,0.843,1
100060,CA,4142,2024-02-29,3,2933,3,0,Distracted,Snow,Clear,20.53,9.3,64.0,33.1,84316,9.81,1159,33.9,1,73.3,2.09,2.02,3.65,1,0.49,0
100061,CA,8420,2024-03-01,3,22347,4,0,Speeding,Dry,Snow,21.08,8.3,44.2,0.0,94342,9.03,3821,62.3,0,9.4,2.41,9.53,8.58,0,0.311,0
100062,NY,4487,2024-03-02,1,17467,3,1,Normal,Snow,Fog,12.13,5.9,37.2,12.3,50504,10.34,8613,48.5,0,95.1,1.3,4.44,2.66,0,0.872,1
100063,IL,2811,2024-03-03,4,20672,2,0,Distracted,Snow,Snow,8.34,6.7,14.0,9.6,103593,2.56,6173,41.7,0,62.2,7.15,1.75,5.15,0,0.156,0
100064,CA,7589,2024-03-04,2,4667,4,0,Normal,Dry,Snow,19.79,9.0,43.1,9.3,61660,9.48,7697,21.9,1,70.7,0.69,1.99,1.07,1,0.206,0
100065,CA,3924,2024-03-05,3,18273,1,0,Speeding,Dry,Fog,11.28,4.3,17.9,2.7,72196,10.51,1224,54.6,0,29.8,3.31,2.81,6.6,0,0.687,0
100066,NY,6302,2024-03-06,3,8857,2,0,Distracted,Ice,Rain,4.59,3.6,80.8,7.5,100938,4.86,1214,78.2,1,41.2,2.82,9.99,8.36,1,0.352,0
100067,CA,5187,2024-03-07,4,6654,3,0,Speeding,Ice,Snow,21.37,0.6,23.0,22.2,43605,8.4,9334,67.8,0,22.4,5.55,2.68,7.18,0,0.713,1
100068,CA,9906,2024-03-08,4,22304,4,1,Impaired,Ice,Rain,22.06,8.4,6.4,11.7,92388,5.14,9525,14.2,1,93.3,7.3,3.29,5.23,1,0.158,0
100069,NY,6978,2024-03-09,5,9420,1,0,Distracted,Snow,Fog,11.66,8.1,60.8,16.7,116297,11.58,9087,36.3,1,48.8,5.33,6.59,0.45,1,0.252,0
100070,NY,5269,2024-03-10,5,18927,2,0,Distracted,Snow,Clear,1.89,1.5,65.5,15.1,90501,2.33,8762,74.8,0,63.0,9.31,2.94,9.33,0,0.157,0
100071,TX,5749,2024-03-11,2,21081,1,0,Distracted,Ice,Clear,9.7,6.0,95.9,35.0,88309,7.8,4516,45.2,0,73.4,9.51,2.16,7.05,0,0.953,1
100072,IL,5850,2024-03-12,2,20380,3,0,Distracted,Snow,Snow,20.09,4.9,63.5,36.2,62043,3.67,5588,56.3,0,37.1,3.61,1.59,7.46,0,0.405,0
100073,IL,4710,2024-03-13,1,17662,1,0,Impaired,Snow,Fog,22.54,1.6,38.0,19.7,68635,9.12,7161,73.9,0,72.0,7.78,3.13,7.95,0,0.337,0
100074,CA,7620,2024-03-14,5,713,0,0,Distracted,Dry,Rain,5.09,9.8,88.3,13.2,114315,3.76,8484,71.2,0,67.6,7.39,1.06,7.48,0,0.014,0
100075,IL,9648,2024-03-15,3,4262,2,0,Normal,Dry,Snow,1.67,2.5,59.4,4.3,115691,4.35,2850,45.1,0,70.6,8.93,0.19,4.41,0,0.153,0
100076,CA,4073,2024-03-16,5,13899,1,0,Distracted,Snow,Fog,21.93,1.1,8.7,38.1,68132,6.94,4657,40.6,0,48.9,4.48,8.05,7.34,0,0.421,0
100077,TX,7531,2024-03-17,3,10268,3,0,Impaired,Ice,Fog,9.74,6.2,62.2,2.4,50366,11.15,7312,33.8,0,38.3,5.3,1.38,6.25,0,0.069,0
100078,NY,1505,2024-03-18,4,11140,3,0,Distracted,Wet,Rain,13.54,7.5,99.9,11.9,107107,4.12,1591,60.3,0,22.2,4.16,7.76,8.54,0,0.511,0
100079,NY,2215,2024-03-19,5,7231,1,0,Normal,Ice,Snow,24.2,0.8,43.6,11.9,97580,3.44,2815,30.1,0,82.5,8.5,7.98,8.02,0,0.455,0
100080,NY,2532,2024-03-20,4,20001,3,0,Impaired,Wet,Fog,1.66,6.8,32.6,12.8,92889,9.59,4541,27.5,0,60.8,2.3,5.38,0.41,0,0.767,1
100081,IL,8577,2024-03-21,2,6291,4,0,Impaired,Ice,Fog,16.21,5.6,15.8,6.6,114553,7.01,3133,34.9,1,44.4,2.4,3.1,3.79,1,0.66,0
100082,TX,1824,2024-03-22,2,16322,4,0,Normal,Dry,Fog,1.85,1.5,16.7,31.3,74236,11.12,5406,22.4,0,94.4,3.73,1.45,0.35,0,0.446,0
100083,IL,1929,2024-03-23,1,9283,4,0,Normal,Snow,Rain,9.39,2.1,47.6,4.9,39150,3.47,1907,58.7,0,4.8,2.3,7.37,1.02,0,0.225,0
100084,IL,6030,2024-03-24,5,14121,0,0,Normal,Snow,Snow,20.1,5.9,65.5,25.4,54423,8.46,819,53.1,0,85.0,5.61,6.01,6.01,0,0.727,1
100085,TX,1134,2024-03-25,4,16519,1,0,Normal,Dry,Snow,10.84,3.3,8.9,5.0,39137,4.33,1472,43.8,0,99.8,1.34,6.55,8.74,0,0.708,1
100086,TX,3106,2024-03-26,3,3220,0,0,Normal,Wet,Snow,24.93,9.4,103.4,2.8,64992,3.57,8648,37.3,0,88.7,3.2,0.09,1.2,0,0.153,0
100087,TX,4628,2024-03-27,2,9405,3,0,Impaired,Wet,Snow,13.98,8.3,83.1,36.4,79921,8.83,3022,73.6,0,81.0,9.13,9.28,4.51,0,0.915,1
100088,TX,7317,2024-03-28,2,9627,0,0,Impaired,Wet,Clear,8.03,9.8,64.5,7.6,114369,7.94,1922,12.0,1,37.4,4.09,0.66,9.11,1,0.064,0
100089,NY,2853,2024-03-29,3,22931,3,0,Distracted,Dry,Clear,5.5,3.0,91.1,32.9,101917,9.55,5649,63.8,0,23.1,7.48,3.67,8.14,0,0.055,0
100090,FL,5911,2024-03-30,4,24916,3,0,Distracted,Wet,Snow,8.76,9.7,8.8,21.8,108690,5.09,2319,73.1,0,73.5,1.13,4.03,5.2,0,0.187,0
100091,FL,5176,2024-03-31,4,16885,2,0,Speeding,Dry,Rain,9.31,4.6,52.5,3.1,69235,6.48,5325,41.2,1,30.5,2.48,0.01,7.72,1,0.909,1
100092,TX,6349,2024-04-01,5,6868,4,0,Distracted,Ice,Clear,1.72,3.8,69.3,38.2,113975,6.05,4799,48.5,0,17.6,8.07,4.97,5.23,0,0.52,0
100093,FL,7191,2024-04-02,5,14556,3,0,Distracted,Ice,Fog,9.24,1.0,91.2,9.9,54122,11.84,6621,76.1,1,78.7,7.63,7.53,1.58,1,0.788,1
100094,FL,2257,2024-04-03,1,12736,2,0,Normal,Dry,Clear,11.61,1.0,86.2,34.4,58956,4.92,9423,24.9,1,31.3,3.86,8.23,1.25,1,0.228,0
100095,TX,4377,2024-04-04,2,18833,4,0,Normal,Snow,Fog,18.07,7.1,30.5,6.8,98879,4.95,5122,46.4,0,91.4,9.54,8.79,1.88,0,0.49,0
100096,FL,6646,2024-04-05,5,23616,3,0,Distracted,Ice,Snow,16.42,4.9,103.5,34.2,93560,5.55,9681,43.2,0,84.1,9.11,4.88,3.51,0,0.358,0
100097,IL,4487,2024-04-06,4,14951,3,0,Speeding,Wet,Clear,17.72,2.7,13.7,0.5,117800,7.65,5513,28.1,0,84.8,9.62,6.31,9.31,0,0.828,1
100098,CA,4585,2024-04-07,3,24717,0,0,Normal,Dry,Rain,0.21,6.3,96.3,20.5,103685,4.52,7500,67.3,0,77.2,4.28,0.8,8.0,0,0.023,0
100099,CA,9054,2024-04-08,4,17801,0,0,Distracted,Wet,Clear,5.44,2.9,106.8,30.8,59660,11.15,8470,73.0,0,88.1,1.97,4.88,4.33,0,0.244,0
100100,TX,4331,2024-04-09,2,20058,4,0,Distracted,Wet,Clear,16.54,6.0,19.5,37.4,36168,4.66,4009,64.7,1,80.6,6.27,1.55,4.93,1,0.153,0
100101,NY,3704,2024-04-10,4,10933,3,0,Impaired,Snow,Clear,12.1,3.9,79.4,36.4,80124,10.96,1363,23.7,0,60.3,6.85,3.7,2.66,0,0.859,1
100102,TX,9663,2024-04-11,1,16025,1,0,Speeding,Wet,Snow,0.13,8.3,4.4,32.8,70897,3.03,7897,16.1,0,29.6,1.25,3.29,7.04,0,0.468,0
100103,NY,9121,2024-04-12,2,23898,0,0,Impaired,Snow,Rain,20.11,8.3,44.6,35.5,50032,8.57,1120,52.4,0,88.8,7.86,4.24,8.03,0,0.404,0
100104,CA,8115,2024-04-13,3,589,4,0,Speeding,Ice,Clear,19.32,5.0,56.8,8.0,87797,11.07,9216,14.0,0,84.1,0.18,5.72,2.39,0,0.449,0
100105,TX,2354,2024-04-14,1,18593,3,0,Normal,Dry,Rain,13.71,3.8,63.9,11.4,70294,3.69,9980,57.1,0,47.3,4.83,9.03,0.42,0,0.972,1
100106,IL,6064,2024-04-15,2,10861,3,0,Speeding,Wet,Snow,1.66,3.9,103.0,11.6,78827,11.68,3335,47.1,0,3.9,3.31,3.94,6.24,0,0.85,1
100107,FL,9550,2024-04-16,3,16869,1,0,Distracted,Dry,Fog,19.16,8.2,73.9,15.1,38516,6.53,8999,56.4,0,63.9,7.4,9.81,5.63,0,0.706,1
100108,NY,8576,2024-04-17,1,3541,4,0,Distracted,Wet,Clear,14.59,3.6,52.9,15.7,54751,11.46,3145,51.3,0,5.1,3.13,7.59,4.02,0,0.29,0
100109,FL,1668,2024-04-18,1,605,3,0,Speeding,Dry,Rain,19.55,2.5,89.1,21.8,65373,8.77,370,39.6,0,92.6,8.27,5.11,6.44,0,0.165,0
100110,FL,5469,2024-04-19,2,9578,0,0,Speeding,Wet,Rain,18.79,1.3,104.6,6.4,65270,5.02,2371,24.1,0,96.2,5.95,6.44,5.51,0,0.921,1
100111,TX,7820,2024-04-20,5,18779,1,0,Speeding,Wet,Snow,20.08,4.9,2.4,27.6,45386,3.88,605,31.4,0,18.9,7.94,1.02,2.51,0,0.423,0
100112,FL,4720,2024-04-21,1,6590,4,0,Impaired,Wet,Clear,12.95,5.1,108.1,6.7,99817,5.04,4989,46.7,0,67.6,9.89,8.45,3.98,0,0.279,0
100113,IL,3746,2024-04-22,1,6582,1,1,Speeding,Wet,Fog,3.51,8.5,9.5,12.4,100184,2.93,5482,55.6,0,9.2,6.79,5.82,4.28,0,0.471,0
100114,FL,8484,2024-04-23,3,17518,0,0,Normal,Wet,Rain,16.78,2.6,89.6,20.1,114693,3.44,1436,64.6,0,73.0,9.85,9.86,8.8,0,0.918,1
100115,TX,1540,2024-04-24,4,2425,4,0,Impaired,Wet,Clear,15.51,4.1,30.8,31.9,72879,3.05,4813,63.7,0,34.7,0.29,6.36,9.61,0,0.387,0
100116,IL,5965,2024-04-25,2,18940,1,0,Impaired,Wet,Fog,18.56,8.2,14.5,29.6,84597,6.23,6904,78.1,0,68.1,3.38,8.34,8.93,0,0.563,0
100117,CA,5836,2024-04-26,2,7417,2,0,Speeding,Wet,Rain,4.25,8.3,48.4,25.8,74132,9.96,7687,30.0,0,37.3,1.08,8.0,7.19,0,0.803,1
100118,FL,4776,2024-04-27,5,20028,0,0,Normal,Wet,Rain,4.87,4.2,70.8,6.2,38626,3.41,4891,15.0,0,14.6,2.62,3.45,5.85,0,0.427,0
100119,TX,7043,2024-04-28,5,1052,0,0,Impaired,Dry,Fog,22.26,4.9,41.9,21.9,116515,3.3,3917,34.2,0,40.6,8.39,2.6,6.89,0,0.234,0
100120,CA,8103,2024-04-29,2,22267,0,0,Distracted,Snow,Fog,18.75,3.4,6.0,3.5,112065,8.43,3843,62.0,0,11.3,0.32,4.3,9.39,0,0.995,1
100121,CA,8313,2024-04-30,5,4411,2,0,Impaired,Wet,Snow,22.71,9.4,65.9,15.1,90390,3.97,7423,40.7,0,57.7,5.2,4.67,2.5,0,0.957,1
100122,NY,6321,2024-05-01,3,3889,2,0,Speeding,Snow,Clear,18.97,1.6,99.3,16.5,51645,2.98,2563,67.2,1,4.1,5.67,2.4,5.35,1,0.843,1
100123,IL,7133,2024-05-02,2,14129,3,0,Normal,Wet,Clear,14.93,9.4,42.2,1.6,89144,3.67,3853,48.5,0,52.7,5.61,8.95,6.9,0,0.688,0
100124,FL,8892,2024-05-03,5,2930,1,0,Speeding,Wet,Snow,16.35,7.0,23.8,11.0,48382,11.24,2377,75.1,0,88.6,4.75,5.43,6.79,0,0.295,0
100125,TX,3780,2024-05-04,2,958,3,0,Distracted,Dry,Rain,22.23,5.5,48.7,38.2,39025,10.21,8859,76.4,0,83.8,7.91,9.78,2.52,0,0.913,1
100126,NY,1925,2024-05-05,4,13895,1,0,Distracted,Ice,Fog,14.47,0.8,5.3,38.1,78226,5.54,2215,14.9,0,88.3,1.34,8.1,5.87,0,0.276,0
100127,IL,2582,2024-05-06,1,707,2,0,Distracted,Ice,Fog,15.81,5.0,90.3,14.1,114380,8.56,3358,41.9,1,92.2,3.11,5.56,7.96,1,0.801,1
100128,NY,8715,2024-05-07,2,1399,2,0,Speeding,Dry,Fog,3.91,4.4,90.9,1.7,104711,7.37,6502,52.7,0,10.5,6.16,9.47,4.75,0,0.918,1
100129,IL,4325,2024-05-08,1,12153,3,0,Impaired,Snow,Rain,11.85,2.0,64.7,7.2,109710,8.77,8117,27.9,1,12.9,6.91,5.05,7.93,1,0.603,0
100130,IL,6714,2024-05-09,5,16905,4,0,Speeding,Ice,Fog,17.91,6.7,38.8,15.7,38443,8.83,7692,38.5,0,55.7,4.04,8.87,3.6,0,0.803,1
100131,FL,8027,2024-05-10,1,9101,3,0,Normal,Dry,Fog,6.77,9.7,88.0,37.9,56395,8.29,6454,57.4,0,89.4,8.75,3.58,9.39,0,0.792,1
100132,IL,1256,2024-05-11,2,1394,1,0,Impaired,Dry,Snow,5.06,5.8,61.0,5.6,45725,4.66,1042,25.9,0,97.4,4.15,3.79,5.34,0,0.193,0
100133,NY,5805,2024-05-12,4,1014,3,0,Distracted,Ice,Rain,7.85,7.3,90.9,30.5,68461,2.39,5474,52.1,0,4.6,4.03,4.18,5.96,0,0.668,0
100134,IL,2839,2024-05-13,5,24178,0,0,Speeding,Snow,Clear,6.04,1.2,69.5,4.3,76115,6.56,9619,58.8,0,35.6,0.36,5.47,0.31,0,0.093,0
100135,FL,1010,2024-05-14,2,21788,1,0,Distracted,Dry,Snow,5.37,4.5,86.3,39.3,118732,10.91,4431,16.3,0,21.3,5.51,5.53,1.7,0,0.508,0
100136,FL,3872,2024-05-15,5,24751,1,0,Distracted,Wet,Snow,10.62,1.6,65.8,15.3,114790,7.69,3224,44.8,0,75.6,7.09,4.96,6.33,0,0.162,0
100137,NY,9990,2024-05-16,3,4609,4,0,Normal,Snow,Clear,22.7,6.3,45.6,31.0,114557,10.32,4832,28.4,0,64.0,1.14,3.06,4.2,0,0.416,0
100138,CA,8410,2024-05-17,1,13758,2,0,Impaired,Snow,Snow,12.68,9.4,105.4,13.7,106260,11.92,9547,60.7,1,12.0,3.05,9.27,5.08,1,0.833,1
100139,CA,8419,2024-05-18,3,15813,1,0,Normal,Ice,Rain,4.7,6.8,59.5,25.1,63690,3.64,5610,23.3,0,48.4,7.81,5.89,0.63,0,0.987,1
100140,IL,6125,2024-05-19,2,15849,2,0,Normal,Ice,Fog,1.92,1.2,66.6,7.7,36407,8.92,7510,72.5,0,68.5,3.66,4.08,8.34,0,0.318,0
100141,TX,2016,2024-05-20,4,7679,3,0,Normal,Wet,Rain,17.4,3.9,24.3,5.8,108568,8.74,3128,40.2,0,77.9,2.42,6.51,7.85,0,0.532,0
100142,IL,3194,2024-05-21,5,10826,0,0,Distracted,Dry,Clear,9.57,5.7,68.8,37.5,93560,11.8,3033,23.9,0,2.0,6.72,7.68,1.85,0,0.511,0
100143,NY,9416,2024-05-22,1,12287,4,0,Normal,Ice,Clear,20.55,4.3,62.9,36.7,82340,11.86,7309,40.7,0,89.0,1.97,9.61,6.34,0,0.954,1
100144,NY,8450,2024-05-23,5,2060,2,1,Normal,Ice,Snow,16.49,8.4,20.3,35.5,52794,8.87,6104,38.6,0,56.9,8.96,5.0,8.18,0,0.479,0
100145,NY,5159,2024-05-24,2,14112,1,0,Impaired,Snow,Rain,19.91,8.2,6.6,25.0,54881,4.44,2573,40.0,1,81.2,1.06,1.12,6.41,1,0.699,0
