crash_id,state,county_fips,crash_date,crash_severity,vehicle_damage,injury_count,fatality_count,driver_behavior,road_condition,weather_condition,precipitation,visibility,temperature,wind_speed,median_income,unemployment_rate,population_density,educational_attainment,claim_fraud_flag
100023,CA,9055,2024-01-23,5,6873,4,0,Speeding,Wet,Rain,10.31,0.7,50.6,21.6,36951,6.04,1508,30.2,0
100024,TX,9206,2024-01-24,1,5119,3,0,Speeding,Snow,Clear,8.0,8.8,87.6,12.6,67395,5.61,661,13.6,0
100025,CA,2368,2024-01-25,3,20066,3,0,Impaired,Snow,Rain,7.16,2.2,30.8,4.8,47906,4.23,2378,37.0,1
100026,CA,4874,2024-01-26,4,8165,4,0,Speeding,Wet,Snow,7.4,2.9,9.1,5.8,53473,4.52,8801,63.1,0
100027,CA,8006,2024-01-27,2,6038,1,0,Normal,Dry,Clear,17.07,8.8,57.4,37.5,37049,11.76,4913,29.3,0
100028,CA,7677,2024-01-28,4,18682,4,0,Distracted,Wet,Rain,19.06,8.8,107.9,7.8,112078,10.49,3648,53.0,0
100029,TX,3244,2024-01-29,1,23646,2,0,Normal,Snow,Fog,14.94,8.4,44.1,26.0,78434,2.51,1216,53.9,0
100030,IL,4760,2024-01-30,3,20665,1,0,Speeding,Dry,Snow,5.57,3.3,28.3,9.6,116544,9.84,8708,27.6,1
100031,CA,8286,2024-01-31,1,5870,1,0,Normal,Snow,Clear,4.86,9.0,85.4,21.0,39718,3.05,2207,43.3,0
100032,TX,4425,2024-02-01,5,6857,2,0,Speeding,Snow,Rain,19.14,7.7,67.7,5.2,41598,11.68,4734,20.0,0
100033,TX,9843,2024-02-02,5,3423,0,0,Speeding,Dry,Clear,24.47,6.6,0.8,11.6,100206,3.92,8664,14.9,0
100034,NY,5676,2024-02-03,4,12672,0,0,Distracted,Dry,Clear,0.4,9.0,108.5,16.0,51588,8.32,7033,65.5,0
100035,FL,8360,2024-02-04,5,23970,2,0,Normal,Dry,Snow,6.22,7.8,53.8,28.3,97782,4.78,2023,22.6,0
100036,CA,5871,2024-02-05,3,5883,1,0,Speeding,Ice,Fog,19.81,4.2,33.4,36.0,50259,3.04,1905,18.8,0
100037,TX,1775,2024-02-06,3,23984,4,0,Distracted,Dry,Snow,17.98,3.2,73.2,17.1,38335,11.91,986,77.7,1
100038,NY,6409,2024-02-07,3,6470,0,0,Speeding,Snow,Snow,6.15,3.9,31.4,28.6,50529,11.66,1610,13.9,0
100039,CA,9455,2024-02-08,1,10301,1,0,Speeding,Dry,Rain,13.87,0.6,51.0,5.6,73165,4.07,7297,57.7,0
100040,CA,9354,2024-02-09,2,2338,3,0,Distracted,Wet,Fog,14.64,3.6,71.7,4.0,89827,6.56,4341,36.2,0
100041,NY,3180,2024-02-10,2,20938,4,0,Impaired,Ice,Snow,18.03,3.5,13.4,17.9,48309,3.89,7802,22.1,1
100042,IL,9310,2024-02-11,3,8904,4,0,Speeding,Snow,Snow,11.59,8.7,51.4,30.4,86151,4.59,403,29.1,0
100043,TX,3302,2024-02-12,2,23893,3,0,Distracted,Dry,Clear,10.12,8.9,80.9,9.3,118273,8.44,7943,61.2,0
100044,CA,1114,2024-02-13,1,1131,4,0,Speeding,Dry,Rain,7.7,9.6,105.7,32.4,71646,8.21,1855,69.9,0
100045,NY,9924,2024-02-14,2,1612,0,0,Normal,Wet,Clear,5.96,3.3,2.4,10.1,75486,7.42,683,28.8,0
100046,IL,9857,2024-02-15,4,20925,2,0,Impaired,Dry,Fog,2.31,6.9,91.6,3.4,47843,7.69,9719,34.3,0
100047,FL,4561,2024-02-16,4,12480,4,0,Distracted,Snow,Clear,16.15,6.3,103.3,20.5,48040,8.72,2563,38.7,0
100048,IL,5343,2024-02-17,3,5579,1,0,Distracted,Wet,Snow,16.74,2.4,108.4,0.0,117561,3.97,1447,67.9,0
100049,TX,6121,2024-02-18,3,19181,0,0,Normal,Snow,Snow,17.18,8.7,103.2,28.3,102431,3.48,9782,62.5,1
100050,NY,9461,2024-02-19,1,14113,0,0,Normal,Dry,Fog,0.08,2.1,14.2,29.6,69519,11.88,171,24.7,1
100051,CA,5212,2024-02-20,3,21874,0,0,Normal,Wet,Fog,10.96,7.5,97.5,38.9,107949,8.02,2157,48.0,0
100052,FL,9603,2024-02-21,4,4555,3,0,Impaired,Dry,Snow,3.06,1.4,16.8,26.5,116550,8.24,5324,63.7,0
100053,TX,8846,2024-02-22,3,8985,1,0,Impaired,Ice,Fog,13.17,1.1,39.7,19.8,51869,10.23,7881,43.5,0
100054,IL,8937,2024-02-23,3,8058,3,0,Distracted,Wet,Clear,24.49,7.2,39.7,2.9,74609,7.53,7768,48.9,0
100055,CA,2439,2024-02-24,4,9390,3,0,Impaired,Wet,Fog,12.48,5.3,30.8,21.4,111788,4.29,2570,24.9,0
100056,FL,1245,2024-02-25,5,22634,4,0,Normal,Snow,Snow,9.37,4.4,39.0,5.7,65045,8.42,3078,56.2,0
100057,FL,8794,2024-02-26,4,11509,1,0,Normal,Snow,Rain,20.35,7.8,59.7,32.1,117835,6.85,1546,15.0,0
100058,CA,7172,2024-02-27,5,13639,3,0,Distracted,Snow,Snow,24.21,3.6,8.6,23.0,43745,9.85,2457,35.3,0
100059,TX,8794,2024-02-28,5,1390,1,0,Distracted,Snow,Snow,7.18,8.5,41.0,8.5,65634,11.61,2980,38.0,0
100060,CA,5162,2024-02-29,5,10923,3,0,Distracted,Dry,Clear,20.08,9.6,64.2,28.3,93574,10.64,2583,52.6,0
100061,NY,1928,2024-03-01,3,5665,4,0,Impaired,Ice,Fog,24.9,9.8,14.8,13.3,93975,5.46,1893,76.4,0
100062,IL,6120,2024-03-02,3,3862,1,0,Speeding,Wet,Fog,2.8,2.8,26.7,26.8,45665,5.62,9107,25.3,0
100063,NY,4912,2024-03-03,1,20212,1,0,Distracted,Wet,Snow,13.28,4.2,34.4,31.2,80078,3.89,8177,48.1,0
100064,CA,3412,2024-03-04,2,4803,0,0,Distracted,Ice,Fog,20.34,7.3,8.2,3.5,63935,11.07,8173,66.2,0
100065,NY,7288,2024-03-05,5,11527,1,0,Speeding,Snow,Fog,9.41,8.9,88.8,20.4,72763,6.46,2719,52.2,1
100066,TX,1381,2024-03-06,4,8682,1,0,Impaired,Ice,Snow,11.14,7.1,29.0,4.1,41476,7.25,3072,61.7,0
100067,TX,5373,2024-03-07,5,2933,0,0,Impaired,Ice,Rain,18.77,7.6,45.2,26.0,36908,11.43,8429,18.2,0
100068,FL,6019,2024-03-08,3,6030,3,0,Normal,Wet,Rain,2.46,8.8,44.6,12.6,90095,5.46,5510,68.5,0
100069,FL,8486,2024-03-09,3,22300,2,0,Normal,Snow,Snow,9.01,3.7,33.5,25.7,49301,10.9,5320,31.8,0
100070,CA,7212,2024-03-10,2,6989,0,0,Speeding,Dry,Rain,14.09,5.4,14.1,1.9,40683,5.95,4140,40.6,0
100071,NY,8486,2024-03-11,5,18708,2,0,Distracted,Ice,Fog,5.96,5.3,98.3,34.7,38113,8.01,3287,15.9,0
100072,IL,2568,2024-03-12,5,16442,4,0,Speeding,Wet,Fog,21.0,6.5,75.0,19.1,114866,9.63,3302,58.1,0
100073,FL,8213,2024-03-13,5,1364,2,1,Normal,Ice,Clear,19.15,9.0,29.4,31.7,75475,10.37,1131,69.3,0
100074,TX,5454,2024-03-14,2,14075,0,0,Speeding,Wet,Fog,24.14,6.0,10.2,9.1,38866,7.54,1171,43.9,1
100075,TX,3986,2024-03-15,4,23272,2,0,Normal,Ice,Rain,13.07,9.7,13.6,13.4,107640,7.49,8560,17.1,0
100076,CA,3848,2024-03-16,4,4634,1,0,Speeding,Snow,Snow,2.66,7.3,30.4,30.6,55658,4.49,6367,17.2,1
100077,CA,5456,2024-03-17,1,16069,0,0,Speeding,Dry,Clear,23.42,4.2,5.4,34.1,47808,5.27,9053,18.1,1
100078,NY,5742,2024-03-18,2,6127,3,0,Normal,Snow,Fog,20.86,5.8,16.0,17.5,87236,5.09,1333,44.6,0
100079,TX,2567,2024-03-19,5,5777,1,0,Distracted,Dry,Rain,13.61,9.2,52.3,37.2,70216,6.24,353,53.5,0
100080,TX,7535,2024-03-20,5,10231,3,0,Distracted,Snow,Fog,20.91,6.2,103.0,23.2,64385,7.0,9993,12.3,0
100081,IL,8295,2024-03-21,1,3750,2,0,Speeding,Snow,Rain,22.04,7.1,47.7,2.0,113347,8.74,1846,14.4,0
100082,FL,6507,2024-03-22,1,17284,2,0,Speeding,Snow,Snow,19.4,6.6,78.0,18.1,48359,5.84,9689,79.1,0
100083,IL,3460,2024-03-23,4,19945,3,0,Speeding,Wet,Rain,14.28,3.4,62.7,6.4,45899,3.94,800,30.4,0
100084,NY,2679,2024-03-24,3,2213,2,0,Speeding,Snow,Clear,15.38,2.0,107.4,29.3,62594,2.59,5366,43.4,1
100085,NY,6698,2024-03-25,5,13677,2,0,Speeding,Wet,Clear,21.11,4.1,19.6,13.9,56930,5.13,7084,54.1,1
100086,TX,2775,2024-03-26,3,7007,3,0,Normal,Ice,Fog,15.56,1.5,81.3,8.0,40419,11.07,951,60.0,0
100087,NY,1061,2024-03-27,1,10594,3,0,Speeding,Snow,Clear,5.16,8.3,38.5,33.7,48665,9.29,4089,17.7,0
100088,IL,4795,2024-03-28,4,8700,0,0,Impaired,Dry,Fog,17.29,7.1,109.0,32.7,92526,2.65,7021,17.7,0
100089,NY,8264,2024-03-29,4,2195,4,0,Distracted,Ice,Rain,13.3,4.0,38.8,13.7,80266,11.06,7609,73.8,0
100090,IL,6074,2024-03-30,2,23533,1,0,Distracted,Snow,Fog,6.58,1.7,107.7,16.1,56414,3.21,6739,32.7,0
100091,IL,5840,2024-03-31,3,12714,4,0,Impaired,Ice,Snow,0.02,8.8,94.6,2.4,95657,10.5,5739,60.7,1
100092,IL,1798,2024-04-01,1,20181,1,0,Distracted,Snow,Clear,5.89,6.4,65.8,7.2,45118,5.66,1547,59.7,0
100093,CA,7329,2024-04-02,3,20794,3,0,Impaired,Ice,Rain,16.84,10.0,3.0,29.4,113724,8.3,8092,42.8,0
100094,TX,8089,2024-04-03,5,761,1,0,Speeding,Ice,Clear,21.96,1.0,20.4,22.6,79011,3.54,5611,16.4,0
100095,IL,4580,2024-04-04,2,14259,1,0,Speeding,Snow,Snow,20.77,2.4,6.2,32.9,71537,10.8,6777,72.3,0
100096,FL,9531,2024-04-05,3,13416,4,0,Impaired,Snow,Rain,2.7,0.8,87.2,20.0,78395,2.23,1249,68.4,0
100097,TX,7953,2024-04-06,5,13906,1,0,Distracted,Ice,Fog,1.78,7.4,8.1,30.7,55442,9.59,3123,40.2,1
100098,FL,1504,2024-04-07,1,8716,1,0,Normal,Wet,Snow,19.04,1.6,86.5,20.4,72468,10.59,202,41.9,0
100099,IL,8208,2024-04-08,5,17058,0,0,Distracted,Wet,Clear,7.12,8.8,3.1,22.7,97330,4.37,8857,48.2,0
100100,CA,8678,2024-04-09,3,7176,3,0,Speeding,Snow,Clear,6.8,4.9,28.1,7.4,113051,4.15,1058,36.5,0
100101,CA,5501,2024-04-10,5,7690,0,0,Speeding,Ice,Snow,0.05,5.3,32.7,21.8,64597,8.27,9746,45.3,0
100102,TX,2531,2024-04-11,2,6154,3,0,Normal,Dry,Snow,2.46,0.4,62.1,8.0,61284,4.48,8022,43.1,0
100103,FL,4221,2024-04-12,4,3215,4,0,Distracted,Snow,Snow,3.39,6.1,61.8,22.2,52138,8.42,9317,30.0,0
100104,IL,4959,2024-04-13,2,17883,0,0,Normal,Ice,Clear,3.98,2.3,97.6,5.7,51772,3.63,3205,71.1,1
100105,IL,4877,2024-04-14,5,14605,2,0,Distracted,Dry,Fog,11.13,2.1,70.1,7.4,115982,11.31,3829,13.3,0
100106,TX,4175,2024-04-15,1,1636,0,0,Impaired,Ice,Snow,20.35,9.0,17.8,30.6,36002,10.06,2549,35.5,0
100107,IL,2449,2024-04-16,3,24628,4,0,Speeding,Wet,Clear,20.31,8.9,3.0,2.8,43565,10.73,2464,64.2,1
100108,CA,1069,2024-04-17,3,17953,0,0,Speeding,Wet,Fog,22.75,0.1,83.8,14.8,98356,6.51,9842,44.0,1
100109,IL,3154,2024-04-18,4,22042,3,0,Distracted,Wet,Fog,11.09,8.3,58.9,35.1,46825,8.06,5197,65.0,0
100110,CA,8207,2024-04-19,5,1576,4,0,Distracted,Snow,Clear,17.72,9.0,63.6,4.2,82700,10.48,410,43.8,0
100111,TX,9223,2024-04-20,1,5416,2,0,Distracted,Ice,Clear,12.21,5.1,45.6,14.4,79401,4.37,6592,79.3,0
100112,FL,4365,2024-04-21,5,10004,3,0,Speeding,Snow,Clear,1.25,6.6,64.9,4.6,55729,11.36,7875,71.9,0
100113,NY,3086,2024-04-22,5,20921,1,0,Normal,Ice,Snow,2.01,7.7,44.6,35.1,36845,8.13,4758,10.5,0
100114,CA,7328,2024-04-23,5,7875,3,0,Speeding,Wet,Clear,6.15,6.9,49.0,5.0,74456,5.37,7181,43.3,1
100115,FL,2492,2024-04-24,5,7033,3,0,Distracted,Wet,Rain,24.54,4.6,65.2,10.2,49863,5.33,8749,70.0,0
100116,IL,8184,2024-04-25,3,24213,4,0,Impaired,Dry,Clear,17.3,5.7,54.2,16.9,85613,7.88,7164,34.0,0
100117,IL,7942,2024-04-26,4,19380,2,0,Normal,Ice,Snow,6.7,5.7,6.5,26.6,99028,3.14,6947,61.0,0
100118,FL,4580,2024-04-27,3,7081,2,0,Impaired,Snow,Clear,17.66,8.4,107.4,13.8,91600,10.81,569,39.3,0
100119,FL,9142,2024-04-28,5,10281,1,0,Impaired,Snow,Snow,16.53,2.4,94.1,8.5,109383,8.24,9248,16.7,0
100120,TX,1699,2024-04-29,5,8105,0,0,Distracted,Ice,Clear,1.08,7.6,41.7,14.9,92914,6.91,820,32.1,1
100121,CA,4637,2024-04-30,4,5956,2,0,Normal,Snow,Rain,9.04,8.1,60.1,22.8,103377,11.94,3224,31.9,0
100122,FL,9313,2024-05-01,1,10346,0,0,Speeding,Wet,Clear,19.34,8.0,102.6,39.6,93112,2.35,9834,55.8,0
100123,FL,1752,2024-05-02,3,20501,0,0,Speeding,Ice,Clear,1.96,8.1,43.8,13.1,54260,10.16,7955,74.9,1
100124,TX,7006,2024-05-03,4,7463,2,0,Distracted,Ice,Fog,22.11,8.3,103.9,14.5,62645,7.81,715,59.3,0
100125,CA,7085,2024-05-04,2,18091,3,0,Normal,Snow,Rain,23.27,4.2,3.4,28.2,55181,5.16,9560,32.6,1
100126,FL,9650,2024-05-05,1,13674,2,0,Distracted,Wet,Snow,21.33,6.2,82.0,12.0,101115,6.38,3647,57.8,1
100127,IL,3203,2024-05-06,2,3114,1,0,Speeding,Snow,Fog,2.93,7.6,87.7,14.0,94793,7.91,4903,15.9,1
100128,TX,9865,2024-05-07,4,15965,3,0,Normal,Wet,Rain,14.13,7.7,21.3,39.8,51629,5.02,8108,36.3,0
100129,CA,8748,2024-05-08,1,4352,0,0,Normal,Dry,Rain,17.69,9.6,17.9,24.2,45703,4.21,9213,23.3,0
100130,FL,3599,2024-05-09,5,16201,1,0,Speeding,Wet,Fog,22.2,9.8,65.0,33.2,51969,10.64,860,58.5,0
100131,CA,8047,2024-05-10,4,3326,4,0,Normal,Wet,Fog,2.39,5.6,52.8,1.3,90442,6.31,8680,56.3,0
100132,IL,7689,2024-05-11,5,22597,0,0,Normal,Ice,Snow,20.39,4.7,64.5,5.8,53856,8.86,4114,34.7,0
100133,FL,1077,2024-05-12,4,14319,3,0,Speeding,Ice,Fog,6.95,8.4,14.5,29.1,76179,3.35,874,22.6,1
100134,TX,7059,2024-05-13,1,3650,0,0,Normal,Ice,Clear,14.81,2.2,30.6,21.6,115461,10.98,5420,21.0,1
100135,TX,8229,2024-05-14,1,16827,4,0,Speeding,Ice,Fog,17.99,7.7,7.7,39.8,89631,3.31,9463,26.6,0
100136,CA,7997,2024-05-15,1,13640,4,0,Impaired,Dry,Snow,19.43,1.9,11.9,19.8,117526,8.38,8882,33.0,0
100137,TX,5644,2024-05-16,5,20497,4,0,Impaired,Snow,Rain,7.37,5.9,78.8,15.4,42997,8.83,4527,70.9,0
100138,CA,1780,2024-05-17,1,9984,2,0,Normal,Snow,Fog,15.18,6.1,2.9,7.8,109320,11.73,8292,18.5,0
100139,NY,3485,2024-05-18,1,7219,4,0,Impaired,Wet,Clear,7.19,4.4,59.4,23.6,114341,11.09,9600,21.8,0
100140,CA,2306,2024-05-19,4,4731,3,0,Speeding,Wet,Fog,24.96,8.6,32.9,30.7,80949,8.42,166,35.9,0
100141,CA,7994,2024-05-20,4,24122,0,0,Distracted,Dry,Snow,20.36,5.4,95.5,37.0,55483,4.68,2368,52.3,0
100142,IL,4967,2024-05-21,3,11059,0,0,Impaired,Snow,Rain,10.35,4.9,60.0,5.5,63161,9.09,9092,13.9,0
100143,IL,1483,2024-05-22,2,3570,1,0,Normal,Wet,Clear,21.98,4.2,109.7,0.3,42084,2.03,9620,27.2,0
100144,NY,4596,2024-05-23,3,11065,2,0,Impaired,Ice,Fog,18.31,0.6,61.7,19.1,111197,5.56,4218,68.4,0
100145,TX,2769,2024-05-24,5,6079,4,0,Speeding,Dry,Fog,23.22,3.6,61.8,7.3,100916,6.15,3678,56.4,0
100146,NY,9933,2024-05-25,3,11747,0,0,Speeding,Snow,Rain,4.29,0.9,36.9,24.4,98294,10.77,2736,34.6,1
100147,TX,8553,2024-05-26,5,4465,4,0,Speeding,Snow,Clear,7.37,5.7,27.8,24.8,106829,7.58,1996,18.0,1
100148,NY,7825,2024-05-27,4,14230,4,0,Impaired,Ice,Rain,2.34,6.4,47.0,16.4,56871,3.2,2961,32.7,0
100149,CA,2591,2024-05-28,1,11522,0,0,Speeding,Dry,Clear,7.95,7.7,25.0,27.1,64464,6.1,4392,27.1,0
100150,FL,4548,2024-05-29,4,5295,2,0,Impaired,Wet,Fog,9.53,6.3,7.8,8.0,93299,7.5,3388,59.7,0
100151,IL,2340,2024-05-30,4,17356,0,0,Impaired,Dry,Fog,15.82,1.9,46.8,32.3,90284,3.23,4685,31.0,0
100152,TX,5529,2024-05-31,4,9438,4,0,Distracted,Dry,Fog,11.79,7.5,11.7,2.0,96979,5.03,5343,57.4,1
100153,TX,1178,2024-06-01,2,24085,1,0,Speeding,Dry,Fog,17.94,5.5,79.5,6.9,51287,2.55,9268,38.9,0
100154,NY,4744,2024-06-02,4,18700,0,0,Distracted,Snow,Rain,6.73,1.0,32.8,39.2,46744,10.3,990,34.5,0
100155,CA,7362,2024-06-03,3,21999,1,0,Speeding,Ice,Rain,4.33,0.2,53.9,36.0,109362,9.67,2303,65.0,0
100156,CA,5372,2024-06-04,1,1309,2,0,Speeding,Ice,Fog,9.48,3.0,21.5,37.6,116709,4.38,1745,23.0,1
100157,TX,6428,2024-06-05,4,16274,4,0,Speeding,Ice,Fog,10.95,6.9,74.9,36.3,46834,7.81,280,42.0,0
100158,TX,9742,2024-06-06,5,7515,3,0,Impaired,Wet,Fog,10.55,9.3,91.4,17.7,69986,6.3,9444,50.8,0
100159,IL,1449,2024-06-07,1,11146,0,0,Speeding,Dry,Snow,22.84,9.7,24.2,37.6,92596,4.68,2699,32.5,0
100160,FL,8888,2024-06-08,1,1705,1,0,Normal,Ice,Fog,6.74,7.6,0.9,9.5,102311,10.2,7586,59.4,0
100161,NY,9121,2024-06-09,5,10074,1,0,Normal,Snow,Fog,8.8,2.9,27.6,2.0,114271,3.16,7192,74.2,0
100162,IL,6940,2024-06-10,2,17757,2,0,Impaired,Ice,Rain,5.38,6.2,69.0,22.3,55377,6.32,4409,15.1,0
100163,FL,4161,2024-06-11,5,2132,3,1,Speeding,Dry,Rain,9.3,2.3,34.2,12.5,115517,11.92,6576,22.7,0
100164,TX,7110,2024-06-12,3,6479,4,0,Normal,Wet,Snow,9.75,7.5,92.0,21.3,56118,4.6,1195,45.6,0
100165,NY,8744,2024-06-13,5,16853,0,0,Speeding,Ice,Rain,14.39,1.7,93.8,18.9,43131,5.4,1261,66.0,0
100166,NY,4114,2024-06-14,5,4202,1,0,Normal,Ice,Rain,6.96,7.6,40.9,19.3,107509,10.66,428,54.2,1
100167,CA,6935,2024-06-15,1,9368,4,0,Speeding,Snow,Snow,6.49,8.7,40.2,22.8,74217,10.24,2368,11.4,0
100168,FL,9289,2024-06-16,5,12128,1,0,Distracted,Snow,Rain,17.98,5.2,1.8,36.9,108567,10.87,2699,33.1,0
100169,IL,2025,2024-06-17,4,7930,1,0,Speeding,Wet,Clear,22.75,0.7,60.5,9.4,81515,6.67,7773,55.8,1
100170,NY,3137,2024-06-18,1,14951,1,0,Impaired,Wet,Fog,3.05,4.5,17.0,35.0,63872,10.35,2559,58.1,0
100171,TX,6158,2024-06-19,1,16538,4,0,Impaired,Wet,Fog,4.56,8.4,12.4,29.4,87747,2.72,6350,43.8,0
100172,TX,1018,2024-06-20,1,2017,0,0,Distracted,Ice,Snow,3.33,1.8,5.9,3.2,98689,6.76,4072,13.8,0
100173,IL,2997,2024-06-21,1,8932,2,0,Impaired,Snow,Fog,17.09,0.4,19.7,33.4,104290,2.03,216,53.9,0
100174,FL,1472,2024-06-22,2,16086,1,0,Normal,Wet,Clear,5.35,7.3,17.2,15.9,83610,6.1,2636,45.3,0
100175,IL,8642,2024-06-23,4,16531,2,0,Speeding,Wet,Snow,15.11,5.6,3.9,13.4,73648,6.74,5139,60.8,0
100176,FL,6587,2024-06-24,2,18994,2,0,Distracted,Wet,Rain,5.04,0.4,108.1,0.0,80438,2.66,527,37.3,1
100177,TX,2319,2024-06-25,3,8045,1,0,Impaired,Dry,Rain,20.44,9.8,72.4,9.8,61216,2.97,6045,68.5,1
100178,NY,6986,2024-06-26,2,6066,1,0,Distracted,Dry,Snow,7.9,5.7,42.6,27.5,71705,2.78,8021,31.5,0
100179,TX,4199,2024-06-27,1,19990,0,0,Impaired,Snow,Snow,16.74,5.9,6.9,34.0,69642,11.71,4143,70.5,0
100180,TX,7415,2024-06-28,4,8507,2,0,Normal,Ice,Clear,3.72,7.9,5.2,9.6,46963,3.23,2189,11.0,0
100181,IL,8461,2024-06-29,2,3614,2,0,Normal,Ice,Rain,7.65,9.0,88.5,14.8,101114,7.42,7238,63.4,0
100182,FL,5064,2024-06-30,2,15717,0,0,Impaired,Wet,Snow,7.43,0.6,46.5,6.0,99545,9.01,4342,67.9,0
100183,CA,1164,2024-07-01,4,6734,3,0,Speeding,Ice,Clear,15.88,3.5,11.9,32.1,44478,7.98,5210,57.7,0
100184,TX,5450,2024-07-02,2,17574,2,1,Distracted,Ice,Rain,17.02,2.0,18.4,28.7,57117,11.89,1021,73.2,1
100185,IL,1127,2024-07-03,4,15114,4,0,Speeding,Dry,Rain,21.13,4.7,74.8,28.0,119972,11.49,1317,24.1,0
100186,NY,5334,2024-07-04,3,9565,0,0,Normal,Wet,Clear,4.58,0.9,47.0,27.2,35166,11.11,8640,34.6,1
100187,TX,7814,2024-07-05,2,6224,3,0,Distracted,Ice,Snow,19.01,0.7,10.6,35.7,50882,2.36,5985,26.0,1
100188,CA,3055,2024-07-06,4,10075,1,0,Speeding,Snow,Snow,17.8,3.0,43.1,35.3,57129,9.09,2738,69.1,0
100189,FL,4184,2024-07-07,1,10940,4,0,Distracted,Ice,Rain,13.94,9.0,4.9,25.0,97736,8.72,4893,62.2,0
100190,IL,4122,2024-07-08,4,17832,0,0,Normal,Snow,Clear,16.25,9.8,29.8,11.6,115544,4.35,8434,70.8,0
100191,IL,9186,2024-07-09,4,24061,0,0,Distracted,Wet,Fog,2.25,7.6,55.3,16.1,112325,8.51,3913,34.3,0
100192,NY,3859,2024-07-10,1,15186,4,0,Distracted,Snow,Clear,3.67,0.0,50.3,1.2,94888,4.62,5130,20.8,0
100193,NY,3757,2024-07-11,2,21333,1,0,Speeding,Snow,Rain,10.39,7.4,84.5,36.7,40227,3.44,802,77.8,0
100194,NY,6121,2024-07-12,1,2559,2,0,Speeding,Wet,Snow,17.78,0.2,17.6,27.5,67143,10.95,1432,41.4,0
100195,NY,5470,2024-07-13,2,3670,4,0,Distracted,Wet,Clear,4.2,1.7,56.1,36.3,99491,4.11,4703,61.1,0
100196,FL,5861,2024-07-14,5,23324,0,0,Speeding,Snow,Fog,9.72,0.1,15.6,12.1,119271,5.93,8924,55.8,1
100197,NY,5782,2024-07-15,4,4559,4,0,Speeding,Ice,Rain,12.45,1.5,20.8,37.8,95127,11.92,3540,20.0,0
